"id_category";"id_product";"position"
"27";"237";"14"
"27";"238";"14"
"27";"239";"15"
"27";"99";"16"
"27";"2503";"17"
"28";"91";"4"
"28";"132";"6"
"28";"131";"8"
"28";"133";"8"
"28";"134";"8"
"28";"4972";"9"
"29";"101";"6"
"29";"102";"6"
"29";"100";"7"
"29";"103";"7"
"29";"104";"8"
"29";"105";"9"
"29";"106";"12"
"29";"108";"12"
"29";"107";"13"
"29";"90";"15"
"29";"87";"16"
"29";"109";"16"
"29";"240";"16"
"30";"111";"7"
"30";"112";"7"
"30";"113";"8"
"30";"110";"9"
"30";"2265";"10"
"30";"2503";"11"
"30";"114";"12"
"31";"115";"3"
"31";"116";"7"
"31";"117";"8"
"31";"124";"8"
"32";"124";"5"
"32";"125";"6"
"32";"126";"7"
"32";"127";"8"
"32";"128";"8"
"32";"239";"11"
"32";"130";"12"
"32";"129";"13"
"33";"135";"3"
"33";"136";"4"
"33";"295";"12"
"34";"2201";"6"
"35";"143";"6"
"35";"140";"8"
"35";"137";"9"
"35";"147";"9"
"35";"148";"10"
"35";"149";"10"
"35";"150";"10"
"35";"152";"14"
"35";"151";"15"
"35";"144";"16"
"35";"154";"16"
"35";"244";"16"
"35";"153";"17"
"35";"2269";"19"
"35";"235";"29"
"35";"2536";"38"
"35";"4399";"39"
"35";"4401";"39"
"35";"4400";"40"
"35";"4402";"41"
"35";"2531";"42"
"35";"4403";"42"
"35";"4896";"43"
"36";"138";"5"
"36";"142";"8"
"36";"141";"10"
"36";"139";"11"
"36";"145";"13"
"36";"2113";"26"
"36";"2327";"30"
"36";"2375";"32"
"36";"4313";"32"
"36";"4399";"40"
"36";"4401";"40"
"36";"4400";"41"
"36";"4402";"42"
"36";"4403";"43"
"36";"2531";"45"
"37";"145";"9"
"37";"146";"9"
"37";"2201";"11"
"37";"139";"12"
"37";"2327";"17"
"37";"2375";"19"
"37";"2530";"19"
"37";"4313";"21"
"37";"4399";"29"
"37";"4401";"29"
"37";"4400";"30"
"37";"4402";"31"
"37";"4403";"32"
"37";"2531";"34"
"39";"156";"6"
"39";"236";"6"
"39";"155";"7"
"39";"2536";"20"
"39";"4747";"22"
"39";"2531";"24"
"39";"4904";"28"
"40";"157";"7"
"40";"158";"7"
"40";"159";"13"
"40";"2306";"15"
"40";"4747";"25"
"40";"2531";"29"
"41";"160";"5"
"41";"161";"6"
"41";"2345";"15"
"41";"2500";"16"
"41";"2344";"18"
"41";"4747";"30"
"41";"2531";"34"
"42";"2272";"6"
"42";"2273";"7"
"42";"2274";"9"
"42";"2275";"15"
"42";"2276";"15"
"42";"2294";"23"
"42";"2311";"26"
"42";"2378";"33"
"42";"2379";"34"
"42";"2313";"36"
"42";"2380";"40"
"42";"2389";"41"
"42";"2423";"42"
"42";"2449";"43"
"42";"2478";"45"
"42";"2477";"46"
"42";"2479";"46"
"42";"2480";"47"
"42";"2534";"49"
"42";"2381";"52"
"42";"4649";"57"
"43";"2162";"15"
"43";"2152";"27"
"43";"2153";"28"
"43";"2298";"35"
"43";"2167";"45"
"43";"2157";"47"
"43";"2169";"55"
"44";"192";"5"
"44";"501";"9"
"44";"528";"10"
"44";"589";"10"
"44";"545";"11"
"44";"876";"11"
"44";"1006";"14"
"44";"1031";"15"
"44";"164";"16"
"44";"885";"16"
"44";"446";"18"
"44";"447";"19"
"44";"886";"19"
"44";"1068";"19"
"44";"1078";"20"
"44";"1087";"23"
"44";"1119";"23"
"44";"1155";"24"
"44";"1156";"25"
"44";"1160";"26"
"44";"1180";"27"
"44";"1289";"28"
"44";"1353";"29"
"44";"1569";"29"
"44";"1579";"30"
"44";"1581";"31"
"44";"1622";"33"
"44";"1503";"34"
"44";"1504";"35"
"44";"1606";"36"
"44";"1621";"39"
"44";"1799";"40"
"44";"1800";"41"
"44";"2189";"45"
"44";"2195";"46"
"44";"2190";"53"
"45";"888";"5"
"45";"889";"5"
"45";"1808";"5"
"45";"936";"6"
"45";"361";"8"
"45";"530";"9"
"45";"547";"11"
"45";"1089";"13"
"45";"1162";"14"
"45";"365";"15"
"45";"1051";"15"
"45";"1124";"16"
"45";"1157";"17"
"45";"166";"18"
"45";"452";"18"
"45";"1225";"20"
"45";"1226";"21"
"45";"1608";"22"
"45";"505";"23"
"45";"1319";"23"
"45";"503";"24"
"45";"4544";"27"
"45";"1510";"28"
"45";"1624";"28"
"45";"366";"29"
"45";"398";"30"
"45";"504";"30"
"45";"1267";"31"
"45";"1512";"31"
"45";"4545";"31"
"45";"1344";"33"
"45";"1625";"33"
"45";"1326";"35"
"45";"1626";"36"
"45";"1032";"37"
"45";"1059";"38"
"45";"1047";"40"
"45";"451";"41"
"45";"878";"41"
"45";"1511";"41"
"45";"1449";"42"
"45";"1480";"43"
"45";"1423";"44"
"45";"1019";"45"
"45";"1071";"46"
"45";"378";"47"
"45";"1432";"48"
"45";"196";"49"
"45";"576";"50"
"45";"588";"51"
"45";"392";"52"
"45";"450";"53"
"45";"1306";"53"
"45";"379";"54"
"45";"1070";"55"
"45";"1007";"56"
"45";"1149";"57"
"45";"195";"58"
"45";"1103";"59"
"45";"1364";"60"
"45";"375";"61"
"46";"194";"3"
"46";"378";"6"
"46";"342";"7"
"46";"165";"11"
"46";"529";"12"
"46";"502";"13"
"46";"518";"13"
"46";"519";"15"
"46";"1019";"15"
"46";"1032";"16"
"46";"546";"18"
"46";"887";"18"
"46";"1046";"20"
"46";"1059";"21"
"46";"1070";"22"
"46";"1088";"24"
"46";"448";"25"
"46";"449";"26"
"46";"1161";"26"
"46";"1266";"27"
"46";"1343";"27"
"46";"1447";"27"
"46";"1448";"33"
"46";"1507";"35"
"46";"1505";"36"
"46";"1506";"36"
"46";"1607";"36"
"46";"1431";"37"
"46";"1508";"37"
"46";"1623";"37"
"46";"1509";"39"
"46";"1808";"41"
"47";"452";"3"
"47";"398";"4"
"47";"936";"11"
"47";"539";"12"
"47";"450";"13"
"47";"1808";"13"
"47";"562";"14"
"47";"935";"14"
"47";"1547";"14"
"47";"361";"15"
"47";"451";"15"
"47";"167";"16"
"47";"1089";"16"
"47";"517";"17"
"47";"1162";"18"
"47";"4545";"18"
"47";"4544";"19"
"47";"1225";"20"
"47";"1124";"21"
"47";"1226";"21"
"47";"525";"22"
"47";"1058";"23"
"47";"196";"24"
"47";"379";"25"
"47";"1267";"26"
"47";"1510";"28"
"47";"503";"29"
"47";"505";"29"
"47";"1018";"30"
"47";"1103";"31"
"47";"504";"32"
"47";"1512";"32"
"47";"376";"33"
"47";"377";"34"
"47";"195";"35"
"47";"374";"36"
"47";"878";"38"
"47";"1511";"39"
"47";"4536";"39"
"48";"4508";"1"
"48";"4509";"3"
"48";"4789";"6"
"48";"4788";"8"
"48";"453";"11"
"48";"400";"12"
"48";"454";"12"
"48";"399";"15"
"48";"531";"15"
"48";"892";"15"
"48";"890";"16"
"48";"891";"16"
"48";"168";"17"
"48";"401";"17"
"48";"548";"17"
"48";"402";"18"
"48";"1820";"19"
"48";"1190";"20"
"48";"1129";"22"
"48";"2132";"23"
"48";"506";"25"
"48";"2131";"26"
"48";"1090";"27"
"48";"1147";"27"
"48";"1163";"27"
"48";"1787";"27"
"48";"1377";"28"
"48";"1229";"29"
"48";"507";"30"
"48";"1379";"31"
"48";"1227";"32"
"48";"1228";"34"
"48";"508";"35"
"48";"1788";"36"
"48";"1515";"37"
"48";"1790";"37"
"48";"1580";"38"
"48";"334";"40"
"48";"1609";"41"
"48";"1054";"42"
"48";"1323";"42"
"48";"1268";"44"
"48";"1514";"44"
"48";"1627";"45"
"48";"1709";"45"
"48";"1297";"46"
"48";"1513";"47"
"48";"1003";"48"
"48";"1059";"49"
"48";"1332";"50"
"48";"343";"51"
"48";"1345";"53"
"48";"327";"54"
"48";"1628";"54"
"48";"1481";"55"
"48";"1433";"56"
"48";"1186";"57"
"48";"328";"58"
"48";"1440";"59"
"48";"368";"60"
"48";"579";"61"
"48";"1450";"62"
"48";"1453";"63"
"48";"584";"64"
"48";"590";"65"
"48";"1359";"66"
"48";"1424";"67"
"48";"1805";"68"
"48";"1056";"69"
"48";"1069";"70"
"48";"1120";"71"
"48";"1074";"72"
"48";"1121";"73"
"48";"1122";"74"
"48";"1153";"75"
"48";"1304";"76"
"48";"1396";"77"
"48";"1308";"78"
"48";"1329";"79"
"48";"1336";"80"
"48";"1338";"81"
"48";"1572";"82"
"48";"1568";"83"
"48";"1602";"84"
"48";"1365";"85"
"48";"1367";"86"
"48";"1370";"87"
"48";"1394";"88"
"48";"378";"89"
"48";"1399";"90"
"48";"177";"91"
"48";"197";"92"
"48";"198";"93"
"48";"254";"94"
"48";"1401";"95"
"48";"255";"96"
"48";"299";"97"
"48";"323";"98"
"48";"383";"99"
"48";"1008";"100"
"48";"1020";"101"
"48";"1794";"102"
"48";"1033";"103"
"48";"1354";"104"
"48";"1355";"105"
"48";"1043";"106"
"48";"1175";"107"
"48";"1598";"108"
"48";"1358";"109"
"48";"1460";"110"
"48";"1361";"111"
"48";"987";"112"
"48";"1475";"113"
"48";"991";"114"
"48";"1373";"115"
"48";"1400";"116"
"48";"2230";"117"
"48";"2236";"118"
"48";"1360";"119"
"48";"966";"120"
"48";"973";"121"
"48";"4853";"126"
"48";"4850";"129"
"48";"4995";"130"
"48";"5005";"134"
"48";"5101";"135"
"48";"5161";"137"
"48";"5239";"141"
"48";"5351";"142"
"49";"4488";"6"
"49";"403";"7"
"49";"405";"7"
"49";"169";"9"
"49";"406";"9"
"49";"455";"9"
"49";"404";"10"
"49";"897";"10"
"49";"896";"11"
"49";"833";"12"
"49";"898";"12"
"49";"4461";"12"
"49";"549";"14"
"49";"893";"16"
"49";"894";"16"
"49";"895";"17"
"49";"1190";"18"
"49";"532";"20"
"49";"1618";"20"
"49";"1819";"20"
"49";"1130";"21"
"49";"1324";"23"
"49";"506";"25"
"49";"1227";"26"
"49";"1147";"27"
"49";"1228";"27"
"49";"1584";"28"
"49";"1090";"29"
"49";"1516";"29"
"49";"1517";"30"
"49";"1518";"31"
"49";"1164";"33"
"49";"1229";"34"
"49";"1711";"36"
"49";"508";"37"
"49";"1780";"37"
"49";"1380";"38"
"49";"1710";"39"
"49";"1784";"39"
"49";"1781";"40"
"49";"337";"41"
"49";"1378";"43"
"49";"1783";"43"
"49";"1785";"45"
"49";"344";"46"
"49";"1212";"46"
"49";"1269";"47"
"49";"1627";"48"
"49";"1297";"49"
"49";"1054";"50"
"49";"1003";"52"
"49";"1782";"52"
"49";"1059";"53"
"49";"1346";"54"
"49";"324";"55"
"49";"1482";"56"
"49";"1454";"58"
"49";"1594";"58"
"49";"1009";"60"
"49";"1451";"61"
"49";"1628";"61"
"49";"1015";"62"
"49";"1425";"63"
"49";"1441";"64"
"49";"1021";"65"
"49";"1034";"66"
"49";"1044";"67"
"49";"1570";"68"
"49";"1433";"69"
"49";"1176";"70"
"49";"1325";"71"
"49";"992";"72"
"49";"1339";"73"
"49";"1356";"74"
"49";"378";"75"
"49";"327";"76"
"49";"1357";"77"
"49";"1461";"78"
"49";"328";"79"
"49";"579";"80"
"49";"584";"81"
"49";"590";"82"
"49";"1120";"83"
"49";"1056";"84"
"49";"1069";"85"
"49";"1074";"86"
"49";"1121";"87"
"49";"1332";"88"
"49";"1122";"89"
"49";"1153";"90"
"49";"1186";"91"
"49";"1304";"92"
"49";"1308";"93"
"49";"1329";"94"
"49";"1396";"95"
"49";"1336";"96"
"49";"1338";"97"
"49";"1359";"98"
"49";"1572";"99"
"49";"1568";"100"
"49";"1602";"101"
"49";"1365";"102"
"49";"1367";"103"
"49";"1370";"104"
"49";"368";"105"
"49";"1394";"106"
"49";"1805";"107"
"49";"1399";"108"
"49";"1794";"109"
"49";"1401";"110"
"49";"2230";"111"
"49";"2236";"112"
"49";"987";"113"
"49";"966";"114"
"49";"2342";"115"
"49";"4853";"118"
"49";"5094";"121"
"49";"5239";"123"
"49";"5351";"124"
"50";"902";"11"
"50";"835";"12"
"50";"904";"12"
"50";"4491";"12"
"50";"834";"13"
"50";"849";"13"
"50";"822";"15"
"50";"824";"15"
"50";"903";"15"
"50";"825";"16"
"50";"1820";"17"
"50";"4462";"17"
"50";"823";"18"
"50";"170";"19"
"50";"899";"19"
"50";"852";"20"
"50";"900";"21"
"50";"901";"21"
"50";"853";"22"
"50";"1190";"22"
"50";"1131";"23"
"50";"1230";"24"
"50";"2157";"25"
"50";"1231";"26"
"50";"1233";"27"
"50";"2158";"28"
"50";"1165";"29"
"50";"1232";"30"
"50";"843";"31"
"50";"1091";"32"
"50";"1125";"32"
"50";"1787";"34"
"50";"1519";"35"
"50";"1521";"36"
"50";"844";"37"
"50";"1777";"37"
"50";"1522";"38"
"50";"1778";"40"
"50";"1520";"41"
"50";"1779";"42"
"50";"1293";"43"
"50";"1610";"43"
"50";"1791";"43"
"50";"1789";"44"
"50";"809";"45"
"50";"1788";"47"
"50";"1111";"48"
"50";"1630";"49"
"50";"1790";"49"
"50";"1659";"51"
"50";"1629";"52"
"50";"1483";"53"
"50";"1440";"54"
"50";"1213";"56"
"50";"847";"57"
"50";"1054";"58"
"50";"1657";"59"
"50";"1709";"59"
"50";"1426";"60"
"50";"1631";"60"
"50";"1452";"61"
"50";"1455";"62"
"50";"1651";"63"
"50";"1065";"65"
"50";"1434";"65"
"50";"1060";"67"
"50";"1195";"68"
"50";"1196";"68"
"50";"1022";"70"
